"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
"1001299","16590","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","46767","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","8-7221","7691","NEW YORK","New York","United States","Y"
"1001299","44749","CITADEL CLEARING LLC","8-69521","172693","CHICAGO","Illinois","United States","Y"
"1001299","16590","CREDIT SUISSE INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","16590","CITADEL CLEARING LLC","8-69521","172693","CHICAGO","Illinois","United States","Y"
"1001299","16587","CITADEL CLEARING LLC","8-69521","172693","CHICAGO","Illinois","United States","Y"
"1001299","16587","BARCLAYS CAPITAL INC.","8-41342","19714","NEW YORK","New York","United States","Y"
"1001299","16604","CITADEL CLEARING LLC","8-69521","172693","CHICAGO","Illinois","United States","Y"
"1001299","64335","CITADEL CLEARING LLC","8-69521","172693","CHICAGO","Illinois","United States","Y"
"1001299","16598","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"1001299","46767","J.P. MORGAN SECURITIES LLC","8-35008","79","NEW YORK","New York","United States","Y"
"1001299","46767","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","16598","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","8-7221","7691","NEW YORK","New York","United States","Y"
"1001299","16590","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"1001299","46768","CITADEL CLEARING LLC","8-69521","172693","CHICAGO","Illinois","United States","Y"
"1001299","16604","CREDIT SUISSE INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"996926","21015","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"996926","173606","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
